post_url,post_id,comment_id,text,reply_to,created_at,likes,retweets,replies,quotes,views,author_id,author_username,author_name,author_followers,author_verified
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079140802094322080,"Kaya raya banget nih cokelat dan kacang ijo. 
Sdh dapet anggaran besar dari negara trs sekarang ikut serta di MBG pula. 
Semoga kekayaan yang diperoleh dari segala  lini nggak hanya dirasakan oleh petingginya saja.",['kompascom'],Mon Jul 20 09:46:10 +0000 2026,51,3,1,0,1719.0,2591775756,NgajarDiDesa,BuGuruDesa,3249,True
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079128687145033875,"Sayangnya dia berbicara di hadapan makhluk ""budeg""",['kompascom'],Mon Jul 20 08:58:02 +0000 2026,23,0,0,0,799.0,1589167272517832704,sayyid_sukardi,ĸιcĸ тнe corrυpтor'ѕ aѕѕ,13,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079176794666868920,https://t.co/cyBe8Viy3V,['kompascom'],Mon Jul 20 12:09:11 +0000 2026,20,1,0,0,1243.0,1963222091039391744,volterposisi,volter oposisi,176,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079316160856949070,"Rakyat : saking bebalnya. Begitu banyak problem bangsa ini, energi bangsa habis untuk protes program yg jelas-jelas amburadul, padahal problem bangsa yg lain juga begitu banyak",['kompascom'],Mon Jul 20 21:22:59 +0000 2026,15,1,0,0,726.0,154002393,liriksoe,Soe,1028,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079208541777514848,"Orang2 seragam ini kayak gak punya kerjaan lain, giliran ada pengaduan disuruh cari bukti sendiri.
Selain ngeluarin skck ntah apa fungsinya, kayak gak punya tupoksi masing-masing.
Udah kayak preman tapi legal, kerjanya ngancem rakyat bunuh2in rakyat.",['kompascom'],Mon Jul 20 14:15:20 +0000 2026,11,3,0,0,1141.0,922447876449452034,oilyjojoba,SUPER maemi,24,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079197819945288006,"Semua mesra sama kekuasaan 
Menikmati proyek2 gede 

Terus apa yg dapat di harapkan pada lembaga-lembaga yang nnt jadi pengadil dalam pemilihan umum hingga kasus2 yg melibatkan lingkaran penguasa",['kompascom'],Mon Jul 20 13:32:44 +0000 2026,3,0,0,0,1377.0,2028382409415389184,RafaWilii,Wilma Rafa,4,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079476170010345667,"rakyat bahkan negara lain semua udah negur, butuh apa lagi biar pemerintah denger dan mau stop mbg",['kompascom'],Tue Jul 21 07:58:48 +0000 2026,1,0,0,0,126.0,1641813394008461312,moonlightuw_,"laa""""",1476,True
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079566079219859467,"Anjiiir buzzer mbg kata2nya template bgt. Cuma beda akun aja, 🤣",['kompascom'],Tue Jul 21 13:56:04 +0000 2026,1,0,0,0,34.0,1693508085841850368,Rattaskuy,Rattaskuuuy ☔,15,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079707856061046997,"Sudah punya dapur MBG puluhan yang mana pendapatan 1 Milyar /Hari ,tapi TNI MASIH CURI SAPI punya WARGA

#MentalMALINGTNI https://t.co/E7gmMKp4HP",['kompascom'],Tue Jul 21 23:19:26 +0000 2026,0,0,0,0,126.0,1762745328741343232,eratWYH1203,Wendy☀️Existential Crisis😎🤘🤪,72,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079466362133713130,logikanya ya kalo butuh cepat pasti pake yg asetnya udh ada dulu nanti sistem mitra umkm jalan pas udh rapi,['kompascom'],Tue Jul 21 07:19:50 +0000 2026,0,0,0,0,122.0,1923247863573942272,lani57466845670,la ni,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079466293124895134,yang penting kan transparansi sm kualitas gizinya bagus mas bro tar kl udh stabil pasti pelan2 dialihkan kok,['kompascom'],Tue Jul 21 07:19:33 +0000 2026,0,0,0,0,62.0,1923247447524114434,gekar23655,Gekar Fateks,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079817546719440909,Program pemerintah diharapkan berorientasi pada manfaat bagi masyarakat dan dikelola secara akuntabel,['kompascom'],Wed Jul 22 06:35:18 +0000 2026,0,0,0,0,27.0,2013862681514815488,nivanadyan,Nivan Adyan,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079512229062595025,"Emang paling bener kalau netizen gak tau apa-apa mending skip komen, support MBG aja! 🌟",['kompascom'],Tue Jul 21 10:22:05 +0000 2026,0,0,1,0,83.0,1633543483,kahix1985, بدور الناصر,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079463592995532848,gue sih paham knp awalnya pake tni polri fasilitas mrk lengkap smpe ke daerah pelosok jd lebih efisien aja buat tahap awal,['kompascom'],Tue Jul 21 07:08:49 +0000 2026,0,0,0,0,109.0,1921973568126255106,ZahraP5561,Zahra Pranindya,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079463521230930023,liat dri sisi positifnya aja sih bro ini kan biar eksekusinya cepet dan minim korupsi krna pengawasan ketat dri tni polri,['kompascom'],Tue Jul 21 07:08:32 +0000 2026,0,0,0,0,84.0,1921971830413524994,CelestiaNa39316,Naima Celestia,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079464403901243889,kalo kata aku sih ini cuma strategi percepatan aja biar anak2 ga nunggu terlalu lama buat dpt gizi gratis,['kompascom'],Tue Jul 21 07:12:03 +0000 2026,0,0,0,0,96.0,1922360472076222466,MirandaAyu30500,Miranda Ayu Wulandari,1,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079466226036953564,emang tni polri yg paling siap instrumennya smpe ke pelosok desa2 jd wajar dipake di awal program,['kompascom'],Tue Jul 21 07:19:17 +0000 2026,0,0,0,0,120.0,1923246975388090368,HDaste86895,Hefa Daste,1,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079466166347784655,aku liatnya ini solusi logis sih ketimbang nunggu tender2 lama yg bikin programnya tertunda trs,['kompascom'],Tue Jul 21 07:19:03 +0000 2026,0,0,0,0,92.0,1923198044583100416,kaka_qila81496,Qila Kaka,1,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079392968973394284,"gara gara ga kebagian dapur itu, coba kalo kebagian, pasti diem diem bae dia ikut nikmatin bisnisnya 😂😂😂",['kompascom'],Tue Jul 21 02:28:11 +0000 2026,0,0,1,0,251.0,2066310783114600448,dannitrbchet,Danii,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079509313664823693,"Lagian aneh banget yang ngeritik MBG, padahal manfaatnya jelas banget buat anak bangsa 👊",['kompascom'],Tue Jul 21 10:10:30 +0000 2026,0,0,0,0,151.0,241857929,bombaaaark,a7md,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079511863260512527,"Heran sama netizen yang hobi banget nge-hate MBG, padahal manfaatnya terasa banget 🙄",['kompascom'],Tue Jul 21 10:20:38 +0000 2026,0,0,1,0,128.0,1422206385375350785,anbu_riyad,…,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079509726988235065,"Stay strong MBG, project kalian beneran berarti banget buat banyak orang 🙏",['kompascom'],Tue Jul 21 10:12:08 +0000 2026,0,0,0,0,58.0,242006437,wbe_fetitza,diana dia,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079511703428210747,"MBG emang nggak pernah main-main, haters yang gak tau apa-apa mending diem deh 🤐",['kompascom'],Tue Jul 21 10:20:00 +0000 2026,0,0,0,0,71.0,2879251754,Bhakti_Annas,Bhakti Annas,5,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079509229065601164,"Emang paling bener kalau netizen udah mulai asal bunyi tanpa tau faktanya, MBG support terus! 🔥",['kompascom'],Tue Jul 21 10:10:10 +0000 2026,0,0,0,0,69.0,1855639471259308032,juniastiti17593,juniastitie,0,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079336217431416869,"Pengelolaan dapur mbg serahkan pada pihak sekolah, yang benar Benar dalam zona 3T jgn Semua sekolah dipukul rata pak @prabowo jebol kan anggarannya. Jadinya harus potong sana sini buat nambal kebutuhan yg lain",['kompascom'],Mon Jul 20 22:42:41 +0000 2026,0,0,0,0,333.0,1742049679037407232,SitiRom05533469,Siti Romlah,93,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079818341229682856,Akhirnya yg dinilai kan hasilnya bukan sekadar polemik doang,['kompascom'],Wed Jul 22 06:38:28 +0000 2026,0,0,0,0,5.0,1761663369575321600,clarissabasera,Clarissa Baseera,1,False
https://x.com/regar_op0sisi/status/2079208098141794557?s=20,2079208098141794557,2079214302704382091,Dan sudah dikuliti scr negatif di media2 Korsel dan media negara2 lain…,"['regar_op0sisi', 'prabowo']",Mon Jul 20 14:38:14 +0000 2026,17,1,1,0,789.0,1648186795870519296,WidyaSetya1207,Widya Setya,41,False
https://x.com/kompascom/status/2079052174693441955?s=20,2079052174693441955,2079818316885967177,Gw rasa keterlibatan siapa aja ga masalah asal amanah,['kompascom'],Wed Jul 22 06:38:22 +0000 2026,0,0,0,0,6.0,2013862686476640256,saveroharzn,Savero Harzan,0,False
